lvr,holiday_enter,income_fraction,insurance_cost_pa,loan_type,cagr,insurance_risk,xirr,viable,premium_viable
0.6,1.35,0.015,0.005,Interest Only,0.07405617360966432,0.31313,0.018270650888913147,False,False
0.65,1.35,0.015,0.005,Interest Only,0.07546922006397017,0.30488,0.01863557857420356,False,False
0.7,1.35,0.015,0.005,Interest Only,0.07664236987181239,0.29837,0.018938061256231577,False,False
0.75,1.35,0.015,0.005,Interest Only,0.07763040231567864,0.29277,0.01919249478761594,False,False
0.8,1.35,0.015,0.005,Interest Only,0.07847521679706837,0.28791,0.019409798887247958,False,False
0.8,1.1,0.015,0.005,Interest Only,0.06749651542252177,0.29854,0.016738789737351937,False,False
0.8,1.15,0.015,0.005,Interest Only,0.06996896841102695,0.29457,0.017342088901213658,False,False
0.8,1.2,0.015,0.005,Interest Only,0.07230195099813441,0.29164,0.017910406302792434,False,False
0.8,1.25,0.015,0.005,Interest Only,0.07448992829845125,0.28988,0.018442565362738816,False,False
0.8,1.3,0.015,0.005,Interest Only,0.07654982523411635,0.28859,0.018942836862444745,False,False
0.8,1.35,0.015,0.005,Interest Only,0.07847521679706837,0.28791,0.019409798887247958,False,False
0.8,1.4,0.015,0.005,Interest Only,0.0802750648257704,0.28775,0.019845752789871916,False,False
0.8,1.35,0.015,0.005,Interest Only,0.07847521679706837,0.28791,0.019409798887247958,False,False
0.8,1.35,0.02,0.005,Interest Only,0.0740561736096661,0.31313,0.018270650888913477,False,False
0.8,1.35,0.025,0.005,Interest Only,0.06915430493541463,0.34447,0.016998762563058125,False,False
0.8,1.35,0.03,0.005,Interest Only,0.06376957141292561,0.38438,0.015589482523294246,False,False
0.7,1.2,0.02,0.004,Interest Only,0.06730482570399654,0.31982,0.0165825489688534,False,False
0.65,1.2,0.02,0.004,Interest Only,0.06547215236154136,0.33159,0.0161060319422205,False,False
0.7,1.15,0.02,0.004,Interest Only,0.06478862411184694,0.32397,0.015967491035466064,False,False
0.65,1.15,0.025,0.004,Interest Only,0.055816047500842236,0.38892,0.013621049030488056,False,False
0.6,1.2,0.02,0.004,Interest Only,0.06325663469560183,0.34665,0.01552810765773708,False,False
