loan_duration,annuity_duration,loan_type,annual_income,total_income,roi,pcnt_hol,insurance_pa,holiday_enter,holiday_exit,repay_amount_factor,repay_start_factor,funder_profit_share,surplus,interest_deficit,funder_earned,cum_interest_paid
30,10,Interest only,30000,300000,375,23.5,0.34,1.0,1.45,1.24,1.37,2280770,4372649,232007,1984092,2374661
30,10,Principal+Interest,26299,262986,340,25.0,0.66,0.91,1.66,0.8,1.0,1850462,3464505,271794,1959781,2345564
30,15,Interest only,27365,410468,286,25.0,0.67,1.0,1.46,0.5,1.3,1296811,2185267,376520,1763205,2110293
30,15,Principal+Interest,22343,335142,295,25.0,1.01,1.0,1.51,1.05,1.37,1371425,2379564,336438,1831545,2192085
30,20,Interest only,22165,443306,307,25.0,0.45,1.04,1.47,0.81,1.5,1644355,2976271,298003,1744816,2088284
30,20,Principal+Interest,17993,359861,348,25.0,0.58,1.01,1.57,0.94,1.38,2094670,3981262,241496,1843813,2206768
30,25,Interest only,19939,498478,255,25.0,0.63,1.0,1.48,0.97,1.42,1125259,1807291,319503,1613193,1930751
30,25,Principal+Interest,15860,396494,326,25.0,0.68,1.01,1.55,0.92,1.5,1907571,3569920,258041,1744732,2088183
30,30,Interest only,18436,553088,254,25.0,0.46,1.0,1.59,1.05,1.47,1249226,2124268,270806,1524411,1824492
30,30,Principal+Interest,14199,425961,322,25.0,0.61,1.0,1.58,1.0,1.5,1951377,3683231,223864,1683213,2014554
25,10,Interest only,27285,272848,250,25.0,0.65,1.0,1.39,0.86,1.36,1143899,1996433,302821,1553174,1858917
25,10,Principal+Interest,19624,196243,250,25.0,0.9,0.93,1.48,1.08,1.18,1127078,1983061,266002,1607107,1923467
25,15,Interest only,19716,295737,251,25.0,0.53,0.97,1.5,1.1,1.29,1220092,2184504,260691,1534949,1837104
25,15,Principal+Interest,15830,237457,255,25.0,0.84,0.95,1.51,1.08,1.46,1232231,2212077,301813,1527421,1828094
25,20,Interest only,16435,328701,250,25.0,0.46,0.96,1.52,1.06,1.4,1271845,2308130,257578,1470577,1760060
25,20,Principal+Interest,13147,262946,250,25.0,0.84,0.98,1.48,1.2,1.47,1228931,2205878,277532,1494589,1788799
25,25,Interest only,13429,335734,250,24.9,0.42,0.93,1.58,1.12,1.49,1329176,2444824,257926,1412909,1691041
25,25,Principal+Interest,11424,285593,250,25.0,0.76,0.97,1.52,1.23,1.5,1290517,2353172,263208,1447489,1732428
20,10,Interest only,4990,49901,220,25.0,0.56,0.85,1.56,1.02,1.5,1093543,2040975,336385,1214990,1454161
20,10,Principal+Interest,5931,59312,230,25.0,0.53,1.0,1.33,0.83,1.5,1224475,2320321,283242,1256603,1503966
20,15,Interest only,6337,95061,207,25.0,0.61,0.84,1.56,0.67,1.5,962335,1755301,356592,1169323,1399504
20,15,Principal+Interest,6096,91439,213,25.0,0.68,0.93,1.4,0.68,1.48,1035612,1907937,312361,1208049,1445854
20,20,Interest only,5819,116388,217,25.0,0.48,0.96,1.37,1.1,1.5,1121498,2101962,267821,1215400,1454652
20,20,Principal+Interest,5119,102381,191,25.2,0.9,0.8,1.52,0.88,1.5,781390,1345698,353075,1152613,1379505
15,10,Interest only,5139,51389,124,27.7,1.69,1.0,1.12,0.96,1.5,319848,309111,292639,872200,1043893
15,10,Principal+Interest,3011,30111,128,30.0,1.7,0.92,1.31,0.59,1.29,354689,402529,324543,851181,1018736
15,15,Interest only,5187,77812,122,28.5,1.61,0.99,1.17,0.68,1.41,321082,311947,295575,849155,1016312
15,15,Principal+Interest,732,10978,126,27.2,1.8,0.9,1.18,0.83,1.5,333362,341752,307366,870692,1042089
